医院名称,经度,纬度,医院等级,缓冲区距离
协和深圳医院,114.2572159,22.7007885,无,1000
协和江南医院,108.2844321,22.80621751,无,1000
协和江北医院,106.5804151,29.61283231,无,1000
协和东西湖医院,114.139361,30.65511985,无,1000
协和武汉十字会医院,114.3115816,30.59846674,无,1000
协和京山医院,113.120776,31.02885188,无,1000
华中科技大学同济医学院附属协和医院,114.1799444,30.49777209,无,1000
